member_tag,member_idx,repeat_idx,fold_idx,seed,control_rmse,control_mae,control_r2,catalyzed_rmse,catalyzed_mae,catalyzed_r2,overall_rmse,overall_mae,overall_r2,max_ordering_violation_control_minus_cat
m000_r01_f01_s10000,0,0,0,10000,10.09662669331742,8.133575564417919,0.1862685873210146,10.87446723665185,8.037233327999441,0.3552287128843681,10.45860440721199,8.089630585680675,0.33573800388664465,0.0
m001_r01_f02_s10001,1,0,1,10001,11.202104624954817,7.722553269334231,-0.0016770700110271264,12.395227175803267,8.898154181782019,0.16228036933587653,11.761351085472814,8.258784926616942,0.15994762879086177,0.0
