project_sample_id,project_col_id,true_a1,true_b1,true_a2,true_b2
003_jetti_project_file_amcf_head,Catalyzed,0.4301176134133874,0.2115233614046826,37.81216064907235,0.005572629038621949
003_jetti_project_file_amcf_head,Control,0.0,0.12401280680354348,22.204946127182616,0.004456130066394957
006_jetti_project_file_pvo,Catalyzed,1.4291673624286982,0.0894639784342045,35.50906752292997,0.008044091883594737
006_jetti_project_file_pvo,Control,1.9084555322734786e-06,0.19017381987777549,14.860765404724418,0.001463610968041892
007_jetti_project_file_leopard_lep,Catalyzed,0.7092728860632167,0.13450988164274136,27.935290306855745,0.007184686130080828
007_jetti_project_file_leopard_lep,Control,13.347809007421823,0.008817668470175557,13.347809007421823,0.008817668470175557
007b_jetti_project_file_tiger_tgr,Catalyzed,42.12322505375071,0.00759968365909223,0.051794708423514496,0.0001869523504564158
007b_jetti_project_file_tiger_tgr,Control,25.576467525238186,0.03073546195671228,47.532,0.0004969898057778897
011_jetti_project_file_rm,Catalyzed,1.1795487413043144,0.01747580768406815,24.368303062715626,0.0012908554303368224
011_jetti_project_file_rm,Control,10.263567956574066,0.008651873336116698,0.5570345844395194,0.0014721589874235998
011_jetti_project_file_rm_crushed,Catalyzed,30.523354237117502,0.0019775188708638625,5.559856121206161,0.0007256770787153738
011_jetti_project_file_rm_crushed,Control,7.334681241188494,0.03944809723310706,26.182,0.0008323341720097446
014_jetti_project_file_bag,Catalyzed,10.828260861144063,0.2,27.720452102148432,0.003428854953741145
014_jetti_project_file_bag,Control,19.531257317902558,0.030137207773466578,9.658416341458146,0.006564439
014_jetti_project_file_kmb,Catalyzed,39.124105202852355,0.008992679329296017,0.9019668665323769,0.002786323980118179
014_jetti_project_file_kmb,Control,0.30765460432290115,0.088294652613949,32.09119610087626,0.009670753000872287
015_jetti_project_file_amcf_6in,Catalyzed,5.211326789538414,0.005779899202316426,8.782278797809038,0.0013962475045028698
015_jetti_project_file_amcf_6in,Control,17.511999999999773,0.0003290030936466421,17.511999999999972,0.0003288503732157102
015_jetti_project_file_amcf_8in,Catalyzed,4.9301884438489765,0.006214063439867368,4.1339228788837294,0.0017661462873890263
015_jetti_project_file_amcf_8in,Control,15.444999999999999,0.0002580107397009811,15.444999999999993,0.00025800620318022267
017_jetti_project_file_ea_mill_feed_combined,Catalyzed,30.453321203364318,0.1,31.687350620962597,0.009169178442241266
017_jetti_project_file_ea_mill_feed_combined,Control,22.646654088912705,0.006405165273493141,22.646654088912705,0.006405159945903438
020_jetti_project_file_hypogene_supergene_hypogene_master_composite,Catalyzed,53.100501805134144,0.01,0.0,1.0000000000003062e-05
020_jetti_project_file_hypogene_supergene_hypogene_master_composite,Control,46.053145553480945,0.009001,0.460950181074476,1.0000000000002755e-05
022_jetti_project_file_stingray_1,Catalyzed,1.2902590734666965,0.1,15.578623954778557,0.005321070579877098
022_jetti_project_file_stingray_1,Control,7.2912350224551545,0.0052081065782506215,7.291240089022594,0.005208104781850119
024_jetti_project_file_024cv_cpy,Catalyzed,30.793093779315882,0.005056832778661963,2.1880949170056754,0.0027080129430158374
024_jetti_project_file_024cv_cpy,Control,0.0,0.1983332803336722,26.349300846437778,0.007702054546616927
026_jetti_project_file_sample_1_primary_sulfide,Catalyzed,29.203341655951366,0.007141584203124676,0.5083743827227319,0.003878730160625522
026_jetti_project_file_sample_1_primary_sulfide,Control,0.2179197630910301,0.013979985785797329,23.404999277318183,0.006441396421028414
026_jetti_project_file_sample_2_carrizalillo,Catalyzed,0.8315487423413684,0.05939707109246574,29.21257166095249,0.008186915266284183
026_jetti_project_file_sample_2_carrizalillo,Control,12.344796756853022,0.008526241867326197,12.344796757623573,0.008526241546423495
026_jetti_project_file_sample_3_secondary_sulfide,Catalyzed,1.0323135659405793,0.06424961100325824,47.256888272002435,0.00960619594946917
026_jetti_project_file_sample_3_secondary_sulfide,Control,19.86096314031889,0.09226273414454503,25.42776314031889,0.008773616287339844
jetti_file_elephant_ii_pq,Catalyzed,15.486641859986317,0.021332829385617036,9.7191761057404,0.0035604013687613235
jetti_file_elephant_ii_pq,Control,10.776331128071673,0.012136832372532217,14.883112568646087,0.00459738853915547
jetti_file_elephant_ii_ugm2,Catalyzed,18.96692276898667,0.2,17.296095979137615,0.00635517804441057
jetti_file_elephant_ii_ugm2,Control,36.25310558824672,0.007681562142121902,0.3316374240601215,0.00612759620992734
jetti_file_elephant_ii_ugm2_coarse,Catalyzed,26.477379277044708,0.02692146564834813,6.7084906549379655,0.004487766374966895
jetti_file_elephant_ii_ugm2_coarse,Control,32.742824711301985,0.009001,0.0,1.0000000000002755e-05
jetti_project_file_elephant_scl_sample_escondida,Catalyzed,0.0,0.1987607537460774,41.918837720064474,0.006761220066315708
jetti_project_file_elephant_scl_sample_escondida,Control,12.854195781225023,0.008742203816982052,12.854195781225023,0.008742203816982052
jetti_project_file_elephant_site,Catalyzed,18.195483613251525,0.2,23.06390911200976,0.0044546096037312325
