parameter,rmse,mae,n
a1,14.416904946003953,9.780231153978315,50
b1,1.22513745575096,0.6345956500437974,50
a2,16.656153383998706,12.184586691246743,50
b2,0.4274483732704786,0.08646076847645484,50
